signal_date,ticker,entry_close,sortino_score,status,exit_date,exit_close,gross_ret_pct,net_ret_pct,incumbent_day_avg_net,excess_over_incumbent
2026-07-01,ACUTAAS.NS,3567.5,0.3674,COMPLETED,2026-07-30,3233.8,-9.354,-9.854,-1.43,-8.424
2026-07-01,ADANIENSOL.NS,1521.4,0.195,COMPLETED,2026-07-30,1659.0,9.044,8.544,-1.43,9.974
2026-07-01,ADANIPOWER.NS,226.86,0.2399,COMPLETED,2026-07-30,208.97,-7.886,-8.386,-1.43,-6.956
2026-07-01,AEGISLOG.NS,1248.05,0.1877,COMPLETED,2026-07-30,1249.3,0.1,-0.4,-1.43,1.03
2026-07-01,ANANDRATHI.NS,1964.9,0.3804,COMPLETED,2026-07-30,2039.3,3.786,3.286,-1.43,4.717
2026-07-01,APOLLO.NS,418.85,0.2097,COMPLETED,2026-07-30,378.1,-9.729,-10.229,-1.43,-8.799
2026-07-01,ARVIND.NS,560.35,0.2053,COMPLETED,2026-07-30,506.65,-9.583,-10.083,-1.43,-8.653
2026-07-01,ASTRAMICRO.NS,1752.5,0.1859,COMPLETED,2026-07-30,1726.0,-1.512,-2.012,-1.43,-0.582
2026-07-01,BHARATFORG.NS,2102.42,0.2344,COMPLETED,2026-07-30,2164.7,2.962,2.462,-1.43,3.892
2026-07-01,CRAFTSMAN.NS,9293.66,0.2174,COMPLETED,2026-07-30,10047.0,8.106,7.606,-1.43,9.036
2026-07-01,CUMMINSIND.NS,5616.42,0.2463,COMPLETED,2026-07-30,5396.0,-3.924,-4.424,-1.43,-2.994
2026-07-01,CUPID.NS,193.38,0.4865,COMPLETED,2026-07-30,228.94,18.389,17.889,-1.43,19.319
2026-07-01,FEDERALBNK.NS,330.27,0.2511,COMPLETED,2026-07-30,352.94,6.865,6.365,-1.43,7.795
2026-07-01,GABRIEL.NS,1243.33,0.2024,COMPLETED,2026-07-30,1389.13,11.726,11.226,-1.43,12.657
2026-07-01,GRANULES.NS,809.71,0.2261,COMPLETED,2026-07-30,833.95,2.993,2.493,-1.43,3.923
2026-07-01,GVT&D.NS,4883.61,0.2278,COMPLETED,2026-07-30,4191.92,-14.163,-14.663,-1.43,-13.233
2026-07-01,HFCL.NS,212.09,0.3004,COMPLETED,2026-07-30,184.69,-12.919,-13.419,-1.43,-11.989
2026-07-01,IDEA.NS,14.64,0.2038,COMPLETED,2026-07-30,12.87,-12.09,-12.59,-1.43,-11.16
2026-07-01,JAYNECOIND.NS,85.68,0.183,COMPLETED,2026-07-30,86.94,1.471,0.971,-1.43,2.401
2026-07-01,KIRLOSENG.NS,2336.16,0.3777,COMPLETED,2026-07-30,2128.4,-8.893,-9.393,-1.43,-7.963
2026-07-01,LAURUSLABS.NS,1493.3,0.3319,COMPLETED,2026-07-30,1781.3,19.286,18.786,-1.43,20.216
2026-07-01,MAHABANK.NS,91.2,0.2174,COMPLETED,2026-07-30,79.26,-13.092,-13.592,-1.43,-12.162
2026-07-01,MTARTECH.NS,7790.0,0.4107,COMPLETED,2026-07-30,5453.5,-29.994,-30.494,-1.43,-29.064
2026-07-01,NATIONALUM.NS,334.65,0.1835,COMPLETED,2026-07-30,347.65,3.885,3.385,-1.43,4.815
2026-07-01,NAVINFLUOR.NS,7585.0,0.2021,COMPLETED,2026-07-30,7386.5,-2.617,-3.117,-1.43,-1.687
2026-07-01,NETWEB.NS,4505.09,0.2333,COMPLETED,2026-07-30,4192.59,-6.937,-7.437,-1.43,-6.007
2026-07-01,NYKAA.NS,308.65,0.1939,COMPLETED,2026-07-30,333.75,8.132,7.632,-1.43,9.062
2026-07-01,PAISALO.NS,70.84,0.2722,COMPLETED,2026-07-30,71.06,0.311,-0.189,-1.43,1.241
2026-07-01,POWERINDIA.NS,34241.82,0.1804,COMPLETED,2026-07-30,31242.54,-8.759,-9.259,-1.43,-7.829
2026-07-01,RBLBANK.NS,360.87,0.1922,COMPLETED,2026-07-30,377.07,4.491,3.991,-1.43,5.421
2026-07-01,SAILIFE.NS,1243.8,0.1865,COMPLETED,2026-07-30,1315.2,5.74,5.24,-1.43,6.671
2026-07-01,STLTECH.NS,590.75,0.4386,COMPLETED,2026-07-30,530.55,-10.19,-10.69,-1.43,-9.26
2026-07-01,SYRMA.NS,1420.15,0.3124,COMPLETED,2026-07-30,1376.39,-3.081,-3.581,-1.43,-2.151
2026-07-01,TDPOWERSYS.NS,1192.72,0.2419,COMPLETED,2026-07-30,1056.68,-11.405,-11.905,-1.43,-10.475
2026-07-01,TORNTPHARM.NS,4640.8,0.2413,COMPLETED,2026-07-30,4872.1,4.984,4.484,-1.43,5.914
2026-07-01,WELCORP.NS,1477.6,0.1914,COMPLETED,2026-07-30,1655.0,12.006,11.506,-1.43,12.936
2026-07-02,ACUTAAS.NS,3691.8,0.3681,COMPLETED,2026-07-31,3104.9,-15.897,-16.397,-0.687,-15.711
2026-07-02,ADANIENSOL.NS,1556.9,0.1955,COMPLETED,2026-07-31,1645.4,5.684,5.184,-0.687,5.871
2026-07-02,ADANIPOWER.NS,224.55,0.2334,COMPLETED,2026-07-31,211.31,-5.896,-6.396,-0.687,-5.709
2026-07-02,AEGISLOG.NS,1314.89,0.1935,COMPLETED,2026-07-31,1280.8,-2.593,-3.093,-0.687,-2.406
2026-07-02,ANANDRATHI.NS,1989.7,0.3865,COMPLETED,2026-07-31,2073.7,4.222,3.722,-0.687,4.409
2026-07-02,APARINDS.NS,15101.0,0.1902,COMPLETED,2026-07-31,14348.0,-4.986,-5.486,-0.687,-4.8
2026-07-02,APOLLO.NS,439.55,0.2254,COMPLETED,2026-07-31,389.9,-11.296,-11.796,-0.687,-11.109
2026-07-02,ARVIND.NS,568.0,0.2093,COMPLETED,2026-07-31,513.2,-9.648,-10.148,-0.687,-9.461
2026-07-02,ASTRAMICRO.NS,1795.7,0.1998,COMPLETED,2026-07-31,1861.6,3.67,3.17,-0.687,3.857
2026-07-02,BHARATFORG.NS,2142.4,0.2386,COMPLETED,2026-07-31,2199.8,2.679,2.179,-0.687,2.866
2026-07-02,CRAFTSMAN.NS,9264.2,0.2023,COMPLETED,2026-07-31,9873.5,6.577,6.077,-0.687,6.764
2026-07-02,CUMMINSIND.NS,5532.61,0.2428,COMPLETED,2026-07-31,5519.0,-0.246,-0.746,-0.687,-0.059
2026-07-02,CUPID.NS,192.06,0.4793,COMPLETED,2026-07-31,230.62,20.077,19.577,-0.687,20.264
2026-07-02,FEDERALBNK.NS,329.87,0.2545,COMPLETED,2026-07-31,357.63,8.414,7.914,-0.687,8.601
2026-07-02,GABRIEL.NS,1239.54,0.1983,COMPLETED,2026-07-31,1438.82,16.078,15.578,-0.687,16.264
2026-07-02,GRANULES.NS,823.98,0.2308,COMPLETED,2026-07-31,824.65,0.081,-0.419,-0.687,0.268
2026-07-02,GVT&D.NS,4810.89,0.2249,COMPLETED,2026-07-31,4312.63,-10.357,-10.857,-0.687,-10.17
2026-07-02,HFCL.NS,204.59,0.2894,COMPLETED,2026-07-31,193.92,-5.215,-5.715,-0.687,-5.028
2026-07-02,IDEA.NS,14.48,0.1965,COMPLETED,2026-07-31,13.01,-10.152,-10.652,-0.687,-9.965
2026-07-02,JAYNECOIND.NS,90.32,0.2016,COMPLETED,2026-07-31,86.03,-4.75,-5.25,-0.687,-4.563
2026-07-02,KIRLOSENG.NS,2316.5,0.3697,COMPLETED,2026-07-31,2189.8,-5.47,-5.97,-0.687,-5.283
2026-07-02,LAURUSLABS.NS,1528.0,0.3286,COMPLETED,2026-07-31,1816.2,18.861,18.361,-0.687,19.048
2026-07-02,MAHABANK.NS,91.04,0.2139,COMPLETED,2026-07-31,79.33,-12.862,-13.362,-0.687,-12.676
2026-07-02,MTARTECH.NS,7400.5,0.3984,COMPLETED,2026-07-31,5726.0,-22.627,-23.127,-0.687,-22.44
2026-07-02,NATIONALUM.NS,332.25,0.1855,COMPLETED,2026-07-31,350.05,5.357,4.857,-0.687,5.544
2026-07-02,NAVINFLUOR.NS,7646.5,0.2066,COMPLETED,2026-07-31,7567.5,-1.033,-1.533,-0.687,-0.846
2026-07-02,NETWEB.NS,4432.24,0.2324,COMPLETED,2026-07-31,4521.18,2.007,1.507,-0.687,2.194
2026-07-02,NYKAA.NS,314.0,0.1951,COMPLETED,2026-07-31,333.4,6.178,5.678,-0.687,6.365
2026-07-02,PAISALO.NS,71.92,0.2736,COMPLETED,2026-07-31,71.2,-1.001,-1.501,-0.687,-0.814
2026-07-02,SCHNEIDER.NS,1453.9,0.191,COMPLETED,2026-07-31,1355.3,-6.782,-7.282,-0.687,-6.595
2026-07-02,STLTECH.NS,562.6,0.4149,COMPLETED,2026-07-31,557.05,-0.986,-1.486,-0.687,-0.8
2026-07-02,SYRMA.NS,1396.87,0.2979,COMPLETED,2026-07-31,1365.4,-2.253,-2.753,-0.687,-2.066
2026-07-02,TDPOWERSYS.NS,1190.42,0.266,COMPLETED,2026-07-31,1130.45,-5.038,-5.538,-0.687,-4.851
2026-07-02,TORNTPHARM.NS,4661.4,0.2214,COMPLETED,2026-07-31,5122.8,9.898,9.398,-0.687,10.085
2026-07-02,WELCORP.NS,1498.8,0.1956,COMPLETED,2026-07-31,1650.6,10.128,9.628,-0.687,10.315
2026-07-03,ACUTAAS.NS,3694.8,0.3676,COMPLETED,2026-08-03,3116.4,-15.654,-16.154,1.118,-17.273
2026-07-03,ADANIENSOL.NS,1568.8,0.1984,COMPLETED,2026-08-03,1647.0,4.985,4.485,1.118,3.366
2026-07-03,ADANIPOWER.NS,221.79,0.2289,COMPLETED,2026-08-03,213.65,-3.67,-4.17,1.118,-5.288
2026-07-03,AEGISLOG.NS,1318.38,0.2196,COMPLETED,2026-08-03,1388.3,5.304,4.804,1.118,3.686
2026-07-03,ANANDRATHI.NS,2061.7,0.3842,COMPLETED,2026-08-03,2058.7,-0.146,-0.646,1.118,-1.764
2026-07-03,APOLLO.NS,450.05,0.2312,COMPLETED,2026-08-03,397.35,-11.71,-12.21,1.118,-13.328
2026-07-03,ARVIND.NS,569.05,0.2118,COMPLETED,2026-08-03,528.95,-7.047,-7.547,1.118,-8.665
2026-07-03,ASTRAMICRO.NS,1848.5,0.212,COMPLETED,2026-08-03,1848.8,0.016,-0.484,1.118,-1.602
2026-07-03,BHARATFORG.NS,2136.7,0.23,COMPLETED,2026-08-03,2211.0,3.477,2.977,1.118,1.859
2026-07-03,CRAFTSMAN.NS,9107.89,0.196,COMPLETED,2026-08-03,10338.5,13.512,13.012,1.118,11.893
